"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.1746","1.1596","1.1809","1.1589","","1.29%"
"11/01/2025","1.1596","1.1536","1.1656","1.1469","","0.52%"
"10/01/2025","1.1536","1.1734","1.1779","1.1521","","-1.69%"
"09/01/2025","1.1734","1.1686","1.1919","1.1608","","0.41%"
"08/01/2025","1.1686","1.1415","1.1744","1.1391","","2.37%"
"07/01/2025","1.1416","1.1787","1.1831","1.1401","","-3.15%"
"06/01/2025","1.1787","1.1343","1.1789","1.1343","","3.87%"
"05/01/2025","1.1348","1.1329","1.1419","1.1065","","0.17%"
"04/01/2025","1.1329","1.0818","1.1574","1.0778","","4.72%"
"03/01/2025","1.0818","1.0382","1.0956","1.0381","","4.26%"
"02/01/2025","1.0376","1.0288","1.0529","1.0146","","0.12%"
"01/01/2025","1.0364","1.0354","1.0534","1.0178","","0.11%"
"12/01/2024","1.0353","1.0577","1.0631","1.0343","","-2.10%"
"11/01/2024","1.0575","1.0883","1.0938","1.0334","","-2.83%"
"10/01/2024","1.0883","1.1135","1.1145","1.0761","","-2.25%"
"09/01/2024","1.1134","1.1047","1.1214","1.1002","","0.79%"
"08/01/2024","1.1047","1.0826","1.1201","1.0775","","2.05%"
"07/01/2024","1.0825","1.0728","1.0948","1.0709","","1.05%"
"06/01/2024","1.0713","1.0851","1.0917","1.0666","","-1.18%"
"05/01/2024","1.0841","1.0664","1.0896","1.0649","","1.65%"
"04/01/2024","1.0665","1.0788","1.0886","1.0601","","-1.19%"
"03/01/2024","1.0793","1.0804","1.0982","1.0767","","-0.09%"
"02/01/2024","1.0803","1.0814","1.0898","1.0695","","-0.12%"
"01/01/2024","1.0816","1.1044","1.1048","1.0795","","-1.99%"
"12/01/2023","1.1036","1.0887","1.1141","1.0723","","1.38%"
"11/01/2023","1.0886","1.0574","1.1018","1.0517","","2.93%"
"10/01/2023","1.0576","1.0568","1.0695","1.0448","","0.06%"
"09/01/2023","1.0570","1.0840","1.0883","1.0488","","-2.50%"
"08/01/2023","1.0841","1.0996","1.1065","1.0766","","-1.38%"
"07/01/2023","1.0993","1.0911","1.1277","1.0833","","0.76%"
"06/01/2023","1.0910","1.0690","1.1012","1.0661","","2.08%"
